(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 2, 1, -0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 59.32%, Max Drawdown: 0.03%
(60, 2, 1, -0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 59.32%, Max Drawdown: 0.03%
(60, 2, 1, 0, -0.5, 3, 2.5): Return: 0.02%, Hit Ratio: 52.54%, Max Drawdown: 0.02%
(60, 2, 1, 0, -0.5, 3, 3): Return: 0.02%, Hit Ratio: 52.54%, Max Drawdown: 0.02%
(60, 2, 1, 0, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 54.84%, Max Drawdown: 0.02%
(60, 2, 1, 0, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 54.84%, Max Drawdown: 0.02%
(100, 1, 1, 0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 49.35%, Max Drawdown: 0.03%
(100, 1, 1, 0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 49.35%, Max Drawdown: 0.03%
(100, 1, 1.5, -0.5, 0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 51.77%, Max Drawdown: 0.07%
(100, 1, 1.5, 0.5, 0, 3.5, 3.5): Return: 0.02%, Hit Ratio: 48.65%, Max Drawdown: 0.04%
(100, 1, 1.5, 0.5, 0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 51.01%, Max Drawdown: 0.05%
(100, 1, 2, -0.5, -0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 52.54%, Max Drawdown: 0.03%
(100, 1, 2, -0.5, 0, 3.5, 2.5): Return: 0.02%, Hit Ratio: 49.24%, Max Drawdown: 0.05%
(100, 1, 2, -0.5, 0, 3.5, 3): Return: 0.02%, Hit Ratio: 49.24%, Max Drawdown: 0.05%
(100, 1, 2, -0.5, 0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 51.08%, Max Drawdown: 0.06%
(100, 1, 2, -0.5, 0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 51.08%, Max Drawdown: 0.06%
(100, 1, 2, -0.5, 0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 51.08%, Max Drawdown: 0.07%
(100, 1, 2, 0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 48.28%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 48.28%, Max Drawdown: 0.03%
(100, 1, 2, 0.5, 0, 3.5, 3.5): Return: 0.02%, Hit Ratio: 47.95%, Max Drawdown: 0.04%
(100, 1, 2, 0.5, 0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 50.34%, Max Drawdown: 0.06%
(100, 1.5, 1, -0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 60.71%, Max Drawdown: 0.02%
(100, 1.5, 1, -0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 60.71%, Max Drawdown: 0.02%
(100, 1.5, 1, 0, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 56.99%, Max Drawdown: 0.02%
(100, 1.5, 1, 0, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 56.99%, Max Drawdown: 0.02%
(100, 1.5, 1, 0, 0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 55.45%, Max Drawdown: 0.01%
(100, 1.5, 1, 0, 0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 55.45%, Max Drawdown: 0.01%
(100, 1.5, 1.5, -0.5, 0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 51.14%, Max Drawdown: 0.02%
(100, 1.5, 1.5, -0.5, 0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 51.14%, Max Drawdown: 0.02%
(100, 1.5, 1.5, 0, -0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 57.47%, Max Drawdown: 0.02%
(100, 1.5, 1.5, 0, 0, 3.5, 3.5): Return: 0.02%, Hit Ratio: 55.68%, Max Drawdown: 0.03%
(100, 1.5, 1.5, 0, 0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 54.44%, Max Drawdown: 0.02%
(100, 1.5, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 52.22%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 52.22%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0.5, 0, 3.5, 2.5): Return: 0.02%, Hit Ratio: 52.22%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0.5, 0, 3.5, 3): Return: 0.02%, Hit Ratio: 52.22%, Max Drawdown: 0.01%
(100, 1.5, 1.5, 0.5, 0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 52.75%, Max Drawdown: 0.03%
(100, 1.5, 2, -0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 57.89%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 57.89%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0, 3.5, 2.5): Return: 0.02%, Hit Ratio: 55.42%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0, 3.5, 3): Return: 0.02%, Hit Ratio: 55.42%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(100, 1.5, 2, -0.5, 0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, -0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 56.47%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, 0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 54.02%, Max Drawdown: 0.02%
(100, 1.5, 2, 0, 0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 54.02%, Max Drawdown: 0.02%
(100, 1.5, 2, 0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 51.14%, Max Drawdown: 0.01%
(100, 1.5, 2, 0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 51.14%, Max Drawdown: 0.01%
(100, 1.5, 2, 0.5, 0, 3.5, 2.5): Return: 0.02%, Hit Ratio: 51.14%, Max Drawdown: 0.01%
(100, 1.5, 2, 0.5, 0, 3.5, 3): Return: 0.02%, Hit Ratio: 51.14%, Max Drawdown: 0.01%
(100, 2, 1, -0.5, 0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(100, 2, 1, -0.5, 0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(100, 2, 1.5, -0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 59.52%, Max Drawdown: 0.01%
(100, 2, 1.5, -0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 59.52%, Max Drawdown: 0.01%
(100, 2, 1.5, -0.5, 0, 3.5, 3.5): Return: 0.02%, Hit Ratio: 61.36%, Max Drawdown: 0.03%
(100, 2, 1.5, -0.5, 0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 52.27%, Max Drawdown: 0.02%
(100, 2, 1.5, 0, -0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 57.78%, Max Drawdown: 0.02%
(100, 2, 1.5, 0, 0.5, 3.5, 3.5): Return: 0.02%, Hit Ratio: 55.56%, Max Drawdown: 0.02%
(100, 2, 1.5, 0.5, -0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 54.55%, Max Drawdown: 0.01%
(100, 2, 1.5, 0.5, -0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 54.55%, Max Drawdown: 0.01%
(100, 2, 1.5, 0.5, 0, 3.5, 2.5): Return: 0.02%, Hit Ratio: 54.55%, Max Drawdown: 0.01%
(100, 2, 1.5, 0.5, 0, 3.5, 3): Return: 0.02%, Hit Ratio: 54.55%, Max Drawdown: 0.01%
(100, 2, 1.5, 0.5, 0.5, 3.5, 2.5): Return: 0.02%, Hit Ratio: 56.82%, Max Drawdown: 0.01%
(100, 2, 1.5, 0.5, 0.5, 3.5, 3): Return: 0.02%, Hit Ratio: 56.82%, Max Drawdown: 0.01%
