(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 2, 2, 0, -0.5, 3.5, 3): Return: -0.02%, Hit Ratio: 52.78%, Max Drawdown: 0.08%
(60, 1.5, 2, -0.5, 0, 2.5, 3.5): Return: -0.02%, Hit Ratio: 46.15%, Max Drawdown: 0.14%
(60, 1.5, 2, 0, 0, 2.5, 3): Return: -0.02%, Hit Ratio: 41.18%, Max Drawdown: 0.15%
(60, 2, 2, -0.5, 0.5, 2.5, 3.5): Return: -0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.06%
(100, 1, 1, -0.5, -0.5, 2.5, 3): Return: -0.02%, Hit Ratio: 46.15%, Max Drawdown: 0.11%
(100, 1, 1, -0.5, -0.5, 3, 3.5): Return: -0.02%, Hit Ratio: 46.23%, Max Drawdown: 0.14%
(100, 1, 1, -0.5, -0.5, 3.5, 3.5): Return: -0.02%, Hit Ratio: 46.23%, Max Drawdown: 0.14%
(100, 1, 1, -0.5, 0, 3, 2.5): Return: -0.02%, Hit Ratio: 44.64%, Max Drawdown: 0.11%
(100, 1, 1, 0, 0, 3.5, 3): Return: -0.02%, Hit Ratio: 50.0%, Max Drawdown: 0.14%
(100, 1, 1, 0, 0.5, 3, 2.5): Return: -0.02%, Hit Ratio: 42.31%, Max Drawdown: 0.12%
(100, 1, 1.5, -0.5, -0.5, 3.5, 2.5): Return: -0.02%, Hit Ratio: 44.83%, Max Drawdown: 0.09%
(100, 1, 1.5, 0, 0, 3, 2.5): Return: -0.02%, Hit Ratio: 45.36%, Max Drawdown: 0.11%
(100, 1, 1.5, 0, 0.5, 3, 2.5): Return: -0.02%, Hit Ratio: 40.95%, Max Drawdown: 0.1%
(100, 1, 2, 0, 0, 2.5, 2.5): Return: -0.02%, Hit Ratio: 43.37%, Max Drawdown: 0.11%
(100, 1, 2, 0, 0, 3, 3): Return: -0.02%, Hit Ratio: 48.84%, Max Drawdown: 0.13%
(30, 1, 2, -0.5, -0.5, 2.5, 2.5): Return: -0.03%, Hit Ratio: 43.69%, Max Drawdown: 0.15%
(30, 1, 2, -0.5, -0.5, 2.5, 3): Return: -0.03%, Hit Ratio: 42.86%, Max Drawdown: 0.15%
(30, 1, 2, -0.5, -0.5, 3, 3): Return: -0.03%, Hit Ratio: 42.86%, Max Drawdown: 0.15%
(30, 1, 2, -0.5, -0.5, 3.5, 3.5): Return: -0.03%, Hit Ratio: 43.12%, Max Drawdown: 0.16%
(30, 1.5, 1, -0.5, -0.5, 2.5, 2.5): Return: -0.03%, Hit Ratio: 43.88%, Max Drawdown: 0.16%
(30, 1.5, 1, -0.5, -0.5, 2.5, 3): Return: -0.03%, Hit Ratio: 43.0%, Max Drawdown: 0.17%
(30, 1.5, 1, -0.5, -0.5, 3, 3): Return: -0.03%, Hit Ratio: 44.55%, Max Drawdown: 0.16%
(30, 1.5, 1, -0.5, -0.5, 3.5, 3.5): Return: -0.03%, Hit Ratio: 43.27%, Max Drawdown: 0.18%
(30, 1.5, 1, 0, -0.5, 2.5, 3): Return: -0.03%, Hit Ratio: 43.93%, Max Drawdown: 0.16%
(30, 1.5, 1.5, -0.5, -0.5, 3, 3.5): Return: -0.03%, Hit Ratio: 40.85%, Max Drawdown: 0.13%
(30, 1.5, 1.5, 0, -0.5, 2.5, 3): Return: -0.03%, Hit Ratio: 41.43%, Max Drawdown: 0.12%
(30, 1.5, 1.5, 0, -0.5, 3.5, 3.5): Return: -0.03%, Hit Ratio: 41.89%, Max Drawdown: 0.14%
(30, 1.5, 2, -0.5, 0, 3.5, 3.5): Return: -0.03%, Hit Ratio: 42.86%, Max Drawdown: 0.15%
(30, 1.5, 2, -0.5, 0.5, 2.5, 3.5): Return: -0.03%, Hit Ratio: 36.07%, Max Drawdown: 0.14%
(30, 1.5, 2, 0, 0, 2.5, 3.5): Return: -0.03%, Hit Ratio: 37.7%, Max Drawdown: 0.14%
(30, 1.5, 2, 0.5, -0.5, 2.5, 3.5): Return: -0.03%, Hit Ratio: 37.7%, Max Drawdown: 0.13%
(30, 1.5, 2, 0.5, -0.5, 3, 3.5): Return: -0.03%, Hit Ratio: 39.68%, Max Drawdown: 0.13%
(30, 1.5, 2, 0.5, -0.5, 3.5, 3.5): Return: -0.03%, Hit Ratio: 39.06%, Max Drawdown: 0.13%
(30, 1.5, 2, 0.5, 0, 2.5, 3): Return: -0.03%, Hit Ratio: 37.93%, Max Drawdown: 0.15%
(30, 1.5, 2, 0.5, 0, 3, 3): Return: -0.03%, Hit Ratio: 39.34%, Max Drawdown: 0.15%
(30, 1.5, 2, 0.5, 0, 3.5, 3): Return: -0.03%, Hit Ratio: 38.71%, Max Drawdown: 0.14%
(30, 1.5, 2, 0.5, 0.5, 2.5, 3.5): Return: -0.03%, Hit Ratio: 37.1%, Max Drawdown: 0.14%
(30, 1.5, 2, 0.5, 0.5, 3, 3.5): Return: -0.03%, Hit Ratio: 39.06%, Max Drawdown: 0.14%
(30, 2, 2, -0.5, -0.5, 2.5, 2.5): Return: -0.03%, Hit Ratio: 57.14%, Max Drawdown: 0.08%
(30, 2, 2, -0.5, -0.5, 3, 2.5): Return: -0.03%, Hit Ratio: 59.38%, Max Drawdown: 0.08%
(30, 2, 2, -0.5, -0.5, 3.5, 3): Return: -0.03%, Hit Ratio: 55.56%, Max Drawdown: 0.08%
(30, 2, 2, 0, -0.5, 2.5, 3): Return: -0.03%, Hit Ratio: 46.67%, Max Drawdown: 0.08%
(30, 2, 2, 0, -0.5, 3, 3): Return: -0.03%, Hit Ratio: 52.94%, Max Drawdown: 0.08%
(60, 1, 1.5, 0, -0.5, 3, 3.5): Return: -0.03%, Hit Ratio: 42.59%, Max Drawdown: 0.15%
(60, 1, 2, 0, -0.5, 3, 3.5): Return: -0.03%, Hit Ratio: 41.84%, Max Drawdown: 0.15%
(60, 1.5, 1.5, 0, -0.5, 2.5, 3.5): Return: -0.03%, Hit Ratio: 41.18%, Max Drawdown: 0.15%
(60, 1.5, 1.5, 0, 0.5, 2.5, 2.5): Return: -0.03%, Hit Ratio: 37.88%, Max Drawdown: 0.13%
(60, 1.5, 1.5, 0, 0.5, 2.5, 3): Return: -0.03%, Hit Ratio: 37.88%, Max Drawdown: 0.13%
(60, 1.5, 1.5, 0, 0.5, 2.5, 3.5): Return: -0.03%, Hit Ratio: 37.14%, Max Drawdown: 0.13%
(60, 1.5, 2, -0.5, -0.5, 2.5, 3.5): Return: -0.03%, Hit Ratio: 41.18%, Max Drawdown: 0.15%
(60, 1.5, 2, -0.5, 0, 2.5, 2.5): Return: -0.03%, Hit Ratio: 47.92%, Max Drawdown: 0.15%
(60, 1.5, 2, -0.5, 0, 2.5, 3): Return: -0.03%, Hit Ratio: 47.92%, Max Drawdown: 0.15%
(60, 1.5, 2, 0, -0.5, 2.5, 3.5): Return: -0.03%, Hit Ratio: 36.36%, Max Drawdown: 0.15%
(60, 1.5, 2, 0, 0, 2.5, 2.5): Return: -0.03%, Hit Ratio: 41.18%, Max Drawdown: 0.15%
(60, 1.5, 2, 0, 0.5, 2.5, 3.5): Return: -0.03%, Hit Ratio: 38.18%, Max Drawdown: 0.15%
(100, 1, 1, -0.5, 0, 3.5, 2.5): Return: -0.03%, Hit Ratio: 44.25%, Max Drawdown: 0.12%
(100, 1, 1, 0, -0.5, 2.5, 3): Return: -0.03%, Hit Ratio: 46.43%, Max Drawdown: 0.13%
(100, 1, 1, 0, -0.5, 3, 3.5): Return: -0.03%, Hit Ratio: 47.37%, Max Drawdown: 0.14%
(100, 1, 1, 0, -0.5, 3.5, 3.5): Return: -0.03%, Hit Ratio: 47.37%, Max Drawdown: 0.14%
(100, 1, 1, 0, 0.5, 3.5, 2.5): Return: -0.03%, Hit Ratio: 42.75%, Max Drawdown: 0.12%
(100, 1, 1, 0.5, -0.5, 3, 2.5): Return: -0.03%, Hit Ratio: 42.19%, Max Drawdown: 0.12%
(100, 1, 1, 0.5, 0, 3, 2.5): Return: -0.03%, Hit Ratio: 43.75%, Max Drawdown: 0.12%
(100, 1, 1.5, -0.5, -0.5, 2.5, 2.5): Return: -0.03%, Hit Ratio: 42.86%, Max Drawdown: 0.1%
(100, 1, 1.5, -0.5, -0.5, 3, 3): Return: -0.03%, Hit Ratio: 45.35%, Max Drawdown: 0.11%
(100, 1, 1.5, 0, -0.5, 2.5, 2.5): Return: -0.03%, Hit Ratio: 41.3%, Max Drawdown: 0.1%
(100, 1, 1.5, 0, -0.5, 3, 3): Return: -0.03%, Hit Ratio: 45.26%, Max Drawdown: 0.12%
(100, 1, 1.5, 0, 0, 3.5, 2.5): Return: -0.03%, Hit Ratio: 45.45%, Max Drawdown: 0.11%
(100, 1, 1.5, 0, 0.5, 3.5, 2.5): Return: -0.03%, Hit Ratio: 41.12%, Max Drawdown: 0.11%
(100, 1, 2, -0.5, -0.5, 3, 2.5): Return: -0.03%, Hit Ratio: 43.42%, Max Drawdown: 0.11%
