(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 1.5, 0.5, 0.5, 3, 2.5): Return: 4.6%, Hit Ratio: 75.27%, Max Drawdown: 0.43%
(60, 1, 2, 0, 0.5, 3, 3): Return: 4.59%, Hit Ratio: 76.34%, Max Drawdown: 0.5%
(60, 1, 2, 0, 0.5, 3.5, 3): Return: 4.59%, Hit Ratio: 76.34%, Max Drawdown: 0.5%
(100, 1, 1.5, 0.5, 0, 2.5, 2.5): Return: 4.58%, Hit Ratio: 74.73%, Max Drawdown: 0.44%
(100, 1, 2, 0.5, 0.5, 3, 2.5): Return: 4.58%, Hit Ratio: 75.0%, Max Drawdown: 0.43%
(100, 1, 2, 0.5, -0.5, 3, 2.5): Return: 4.57%, Hit Ratio: 74.44%, Max Drawdown: 0.43%
(30, 1, 1.5, 0.5, 0.5, 2.5, 3): Return: 4.56%, Hit Ratio: 67.92%, Max Drawdown: 0.33%
(100, 1, 2, 0.5, 0, 2.5, 2.5): Return: 4.56%, Hit Ratio: 74.44%, Max Drawdown: 0.44%
(30, 1, 1.5, 0.5, -0.5, 2.5, 3.5): Return: 4.54%, Hit Ratio: 66.02%, Max Drawdown: 0.51%
(30, 1, 1, 0.5, -0.5, 3, 2.5): Return: 4.53%, Hit Ratio: 69.64%, Max Drawdown: 0.33%
(30, 1, 2, 0.5, 0, 2.5, 3): Return: 4.53%, Hit Ratio: 67.33%, Max Drawdown: 0.33%
(30, 1.5, 2, 0.5, 0.5, 3, 3): Return: 4.52%, Hit Ratio: 71.7%, Max Drawdown: 0.33%
(60, 1.5, 1.5, 0, 0, 3, 2.5): Return: 4.52%, Hit Ratio: 74.0%, Max Drawdown: 0.36%
(60, 1.5, 1.5, 0, 0, 3.5, 2.5): Return: 4.52%, Hit Ratio: 74.0%, Max Drawdown: 0.36%
(30, 1.5, 1.5, 0.5, 0.5, 3, 2.5): Return: 4.51%, Hit Ratio: 67.69%, Max Drawdown: 0.32%
(60, 1.5, 2, 0, -0.5, 3, 3): Return: 4.51%, Hit Ratio: 75.0%, Max Drawdown: 0.73%
(60, 1.5, 2, 0, -0.5, 3.5, 3): Return: 4.51%, Hit Ratio: 75.0%, Max Drawdown: 0.73%
(30, 1.5, 2, 0.5, 0, 3, 3): Return: 4.5%, Hit Ratio: 69.23%, Max Drawdown: 0.33%
(30, 1.5, 1.5, 0.5, 0, 3, 2.5): Return: 4.49%, Hit Ratio: 62.5%, Max Drawdown: 0.32%
(30, 1.5, 1.5, 0.5, 0.5, 3, 3.5): Return: 4.49%, Hit Ratio: 67.16%, Max Drawdown: 0.35%
(60, 1.5, 2, 0.5, 0.5, 3, 3.5): Return: 4.49%, Hit Ratio: 68.09%, Max Drawdown: 0.35%
(60, 1.5, 2, 0.5, 0.5, 3.5, 3.5): Return: 4.49%, Hit Ratio: 68.09%, Max Drawdown: 0.35%
(30, 1, 2, 0.5, 0.5, 2.5, 3): Return: 4.47%, Hit Ratio: 67.65%, Max Drawdown: 0.33%
(30, 1.5, 1.5, 0.5, -0.5, 3, 2.5): Return: 4.47%, Hit Ratio: 62.5%, Max Drawdown: 0.32%
(30, 1.5, 1.5, 0.5, 0, 3, 3.5): Return: 4.47%, Hit Ratio: 62.12%, Max Drawdown: 0.35%
(60, 1, 1.5, 0, -0.5, 3, 2.5): Return: 4.47%, Hit Ratio: 77.65%, Max Drawdown: 0.73%
(60, 1, 1.5, 0, -0.5, 3.5, 2.5): Return: 4.47%, Hit Ratio: 77.65%, Max Drawdown: 0.73%
(60, 1.5, 1.5, 0, 0, 3, 3): Return: 4.47%, Hit Ratio: 72.0%, Max Drawdown: 0.36%
(60, 1.5, 1.5, 0, 0, 3.5, 3): Return: 4.47%, Hit Ratio: 72.0%, Max Drawdown: 0.36%
(60, 1.5, 2, 0.5, 0, 3, 3.5): Return: 4.47%, Hit Ratio: 65.96%, Max Drawdown: 0.35%
(60, 1.5, 2, 0.5, 0, 3.5, 3.5): Return: 4.47%, Hit Ratio: 65.96%, Max Drawdown: 0.35%
(30, 1, 1, 0.5, 0, 3, 2.5): Return: 4.44%, Hit Ratio: 71.43%, Max Drawdown: 0.33%
(30, 1.5, 2, 0.5, -0.5, 3, 3.5): Return: 4.43%, Hit Ratio: 69.23%, Max Drawdown: 0.39%
(30, 1, 1.5, 0.5, 0, 2.5, 3.5): Return: 4.42%, Hit Ratio: 66.35%, Max Drawdown: 0.51%
(100, 1, 1.5, 0.5, -0.5, 3.5, 3): Return: 4.42%, Hit Ratio: 75.0%, Max Drawdown: 0.43%
(100, 1, 1.5, 0.5, -0.5, 3.5, 3.5): Return: 4.42%, Hit Ratio: 75.0%, Max Drawdown: 0.43%
(30, 1, 2, 0.5, -0.5, 2.5, 3.5): Return: 4.41%, Hit Ratio: 67.0%, Max Drawdown: 0.54%
(100, 1, 2, 0.5, -0.5, 3.5, 3): Return: 4.39%, Hit Ratio: 74.73%, Max Drawdown: 0.43%
(100, 1, 2, 0.5, -0.5, 3.5, 3.5): Return: 4.39%, Hit Ratio: 74.73%, Max Drawdown: 0.43%
(60, 1, 2, 0, -0.5, 3, 3.5): Return: 4.38%, Hit Ratio: 78.05%, Max Drawdown: 0.73%
(60, 1, 2, 0, -0.5, 3.5, 3.5): Return: 4.38%, Hit Ratio: 78.05%, Max Drawdown: 0.73%
(60, 1, 2, 0, 0, 3, 3.5): Return: 4.38%, Hit Ratio: 79.07%, Max Drawdown: 0.5%
(60, 1, 2, 0, 0, 3.5, 3.5): Return: 4.38%, Hit Ratio: 79.07%, Max Drawdown: 0.5%
(30, 1, 1, 0.5, 0.5, 3, 2.5): Return: 4.37%, Hit Ratio: 72.88%, Max Drawdown: 0.33%
(30, 1, 1.5, 0.5, 0.5, 2.5, 3.5): Return: 4.37%, Hit Ratio: 67.92%, Max Drawdown: 0.51%
(100, 1, 1.5, 0.5, -0.5, 3, 3): Return: 4.37%, Hit Ratio: 74.73%, Max Drawdown: 0.43%
(100, 1, 1.5, 0.5, -0.5, 3, 3.5): Return: 4.37%, Hit Ratio: 74.73%, Max Drawdown: 0.43%
(100, 1, 1.5, -0.5, -0.5, 3.5, 3): Return: 4.36%, Hit Ratio: 84.62%, Max Drawdown: 0.74%
(100, 1, 1.5, -0.5, -0.5, 3.5, 3.5): Return: 4.36%, Hit Ratio: 84.62%, Max Drawdown: 0.74%
(100, 1, 1.5, 0.5, 0, 2.5, 3): Return: 4.36%, Hit Ratio: 74.73%, Max Drawdown: 0.44%
(100, 1, 1.5, 0.5, 0, 2.5, 3.5): Return: 4.36%, Hit Ratio: 74.73%, Max Drawdown: 0.44%
(60, 1.5, 2, 0, -0.5, 3, 2.5): Return: 4.35%, Hit Ratio: 75.0%, Max Drawdown: 0.73%
(60, 1.5, 2, 0, -0.5, 3.5, 2.5): Return: 4.35%, Hit Ratio: 75.0%, Max Drawdown: 0.73%
(100, 1, 2, 0.5, -0.5, 3, 3): Return: 4.35%, Hit Ratio: 74.44%, Max Drawdown: 0.43%
(100, 1, 2, 0.5, -0.5, 3, 3.5): Return: 4.35%, Hit Ratio: 74.44%, Max Drawdown: 0.43%
(30, 1.5, 2, 0.5, 0.5, 3, 2.5): Return: 4.34%, Hit Ratio: 71.15%, Max Drawdown: 0.4%
(100, 1, 2, 0.5, 0, 2.5, 3): Return: 4.34%, Hit Ratio: 74.44%, Max Drawdown: 0.44%
(100, 1, 2, 0.5, 0, 2.5, 3.5): Return: 4.34%, Hit Ratio: 74.44%, Max Drawdown: 0.44%
(30, 1, 1.5, 0.5, 0, 3.5, 2.5): Return: 4.33%, Hit Ratio: 68.93%, Max Drawdown: 0.33%
(30, 1, 2, 0.5, 0, 2.5, 3.5): Return: 4.33%, Hit Ratio: 67.33%, Max Drawdown: 0.54%
