,date,avg_bid_non_us_before,avg_ask_non_us_before,avg_bid_non_us_at,avg_ask_non_us_at,avg_bid_us_before,avg_ask_us_before,avg_bid_us_at,avg_ask_us_at
133,2016-06-07,107.445,107.449,107.415,107.419,107.415,107.417,107.42200000000001,107.42399999999999
134,2016-06-08,107.26799999999999,107.271,107.25200000000001,107.256,106.83200000000001,106.834,106.838,106.84
135,2016-06-09,106.771,106.775,106.796,106.8,106.522,106.525,106.512,106.514
136,2016-06-10,107.13799999999999,107.14,107.085,107.087,106.885,106.887,106.883,106.885
137,2016-06-13,106.525,106.52799999999999,106.50200000000001,106.506,106.03299999999999,106.035,106.06,106.06200000000001
138,2016-06-14,106.199,106.20299999999999,106.191,106.195,105.96700000000001,105.969,106.0,106.00200000000001
139,2016-06-15,106.09299999999999,106.09700000000001,106.095,106.098,106.12700000000001,106.12799999999999,106.124,106.126
140,2016-06-16,105.84200000000001,105.84700000000001,105.87299999999999,105.87700000000001,104.166,104.16799999999999,104.161,104.163
141,2016-06-17,104.741,104.744,104.764,104.76700000000001,104.256,104.259,104.27,104.272
142,2016-06-20,104.62299999999999,104.62799999999999,104.645,104.65,104.46700000000001,104.47,104.48899999999999,104.491
143,2016-06-21,103.83200000000001,103.836,103.779,103.78299999999999,104.57600000000001,104.57700000000001,104.579,104.581
144,2016-06-22,104.68700000000001,104.691,104.67299999999999,104.677,104.571,104.572,104.56700000000001,104.569
145,2016-06-23,104.66,104.664,104.598,104.604,105.875,105.87799999999999,105.88799999999999,105.89200000000001
146,2016-06-24,104.919,104.961,104.87700000000001,104.91799999999999,102.15,102.15700000000001,102.15700000000001,102.165
147,2016-06-27,102.197,102.213,102.225,102.241,101.66799999999999,101.671,101.615,101.617
148,2016-06-28,101.805,101.809,101.76899999999999,101.774,102.413,102.416,102.413,102.415
149,2016-06-29,102.695,102.7,102.645,102.65100000000001,102.76799999999999,102.771,102.775,102.777
150,2016-06-30,102.788,102.792,102.759,102.76299999999999,102.787,102.79,102.794,102.79700000000001
151,2016-07-01,103.07700000000001,103.08200000000001,103.074,103.079,102.59200000000001,102.595,102.60700000000001,102.61
152,2016-07-04,102.46600000000001,102.471,102.462,102.46799999999999,102.624,102.626,102.619,102.62100000000001
153,2016-07-05,102.531,102.535,102.508,102.51299999999999,101.693,101.695,101.697,101.698
154,2016-07-06,101.14399999999999,101.15,101.15,101.156,100.89399999999999,100.896,100.87,100.87200000000001
155,2016-07-07,101.15100000000001,101.156,101.109,101.11399999999999,101.07799999999999,101.08,101.079,101.08200000000001
156,2016-07-08,100.77600000000001,100.78200000000001,100.787,100.79,100.50399999999999,100.508,100.441,100.445
157,2016-07-11,100.704,100.70700000000001,100.66799999999999,100.67200000000001,102.48,102.48200000000001,102.477,102.479
158,2016-07-12,102.51700000000001,102.521,102.51,102.514,104.374,104.37700000000001,104.39200000000001,104.395
159,2016-07-13,104.741,104.744,104.72,104.72399999999999,104.581,104.583,104.605,104.60700000000001
160,2016-07-14,104.088,104.09299999999999,104.059,104.064,105.801,105.803,105.791,105.794
161,2016-07-15,105.164,105.17,105.164,105.169,105.985,105.98700000000001,105.975,105.977
162,2016-07-18,105.411,105.41799999999999,105.444,105.45200000000001,105.49700000000001,105.5,105.48299999999999,105.485
163,2016-07-19,106.149,106.154,106.134,106.13799999999999,106.455,106.458,106.443,106.446
164,2016-07-20,106.13600000000001,106.139,106.13600000000001,106.14,106.65700000000001,106.66,106.637,106.64
165,2016-07-21,107.17299999999999,107.179,107.17200000000001,107.178,106.40700000000001,106.41,106.397,106.399
166,2016-07-22,105.807,105.814,105.777,105.785,106.072,106.075,106.04899999999999,106.052
167,2016-07-25,106.286,106.29,106.271,106.275,106.152,106.15299999999999,106.155,106.15700000000001
168,2016-07-26,105.596,105.601,105.59100000000001,105.594,104.34899999999999,104.352,104.33,104.333
169,2016-07-27,104.84299999999999,104.84700000000001,104.835,104.839,105.556,105.55799999999999,105.545,105.54799999999999
170,2016-07-28,104.914,104.919,104.93299999999999,104.93799999999999,104.868,104.87100000000001,104.839,104.84100000000001
171,2016-07-29,104.79,104.803,104.775,104.789,102.898,102.90100000000001,102.87299999999999,102.875
172,2016-08-01,102.334,102.338,102.353,102.35700000000001,102.456,102.459,102.43,102.43299999999999
173,2016-08-02,102.302,102.306,102.31299999999999,102.31700000000001,101.321,101.324,101.306,101.309
174,2016-08-03,101.07600000000001,101.079,101.103,101.10700000000001,101.176,101.179,101.199,101.20100000000001
175,2016-08-04,101.339,101.34200000000001,101.32799999999999,101.33,101.186,101.189,101.165,101.16799999999999
176,2016-08-05,101.20700000000001,101.211,101.235,101.238,101.725,101.728,101.712,101.714
177,2016-08-08,102.081,102.085,102.06,102.064,102.56700000000001,102.569,102.56,102.56200000000001
178,2016-08-09,102.295,102.29899999999999,102.287,102.291,102.064,102.06700000000001,102.068,102.071
179,2016-08-10,101.934,101.936,101.926,101.93,101.186,101.189,101.219,101.221
180,2016-08-11,101.137,101.14200000000001,101.13799999999999,101.14200000000001,101.23899999999999,101.242,101.25,101.25299999999999
181,2016-08-12,101.82799999999999,101.83,101.821,101.824,101.042,101.045,101.036,101.04
182,2016-08-15,101.26700000000001,101.272,101.28,101.28299999999999,101.12899999999999,101.131,101.139,101.141
183,2016-08-16,101.25399999999999,101.256,101.24700000000001,101.25,100.353,100.355,100.348,100.35
184,2016-08-17,100.198,100.20100000000001,100.227,100.23100000000001,100.675,100.676,100.69200000000001,100.694
185,2016-08-18,99.906,99.911,99.898,99.90299999999999,100.391,100.39299999999999,100.40299999999999,100.406
186,2016-08-19,100.126,100.131,100.14,100.14399999999999,100.275,100.27799999999999,100.255,100.258
187,2016-08-22,100.565,100.568,100.555,100.559,100.314,100.316,100.305,100.307
188,2016-08-23,100.272,100.274,100.296,100.3,100.10600000000001,100.10799999999999,100.085,100.087
189,2016-08-24,100.296,100.301,100.334,100.338,100.31200000000001,100.315,100.309,100.311
190,2016-08-25,100.55799999999999,100.561,100.55799999999999,100.56200000000001,100.506,100.508,100.51,100.512
191,2016-08-26,100.56200000000001,100.564,100.53,100.53200000000001,100.309,100.31,100.291,100.29299999999999
192,2016-08-29,101.92200000000001,101.925,101.945,101.949,102.26799999999999,102.27,102.265,102.26700000000001
193,2016-08-30,101.82600000000001,101.83,101.829,101.833,102.626,102.62799999999999,102.62,102.62200000000001
194,2016-08-31,102.88799999999999,102.89,102.87700000000001,102.88,103.427,103.429,103.439,103.441
195,2016-09-01,103.30799999999999,103.311,103.30799999999999,103.31,103.93299999999999,103.936,103.943,103.944
196,2016-09-02,103.257,103.26,103.249,103.251,103.57799999999999,103.58,103.57,103.572
197,2016-09-05,103.943,103.946,103.96600000000001,103.96799999999999,103.398,103.4,103.398,103.4
198,2016-09-06,103.499,103.50299999999999,103.522,103.52600000000001,103.316,103.31700000000001,103.32,103.322
199,2016-09-07,101.54899999999999,101.552,101.557,101.56,101.425,101.426,101.397,101.4
200,2016-09-08,101.833,101.835,101.831,101.833,101.67399999999999,101.676,101.647,101.649
201,2016-09-09,102.306,102.30799999999999,102.34100000000001,102.34299999999999,102.96600000000001,102.96799999999999,102.988,102.98899999999999
202,2016-09-12,102.463,102.465,102.52799999999999,102.53,101.92200000000001,101.92299999999999,101.954,101.956
203,2016-09-13,101.738,101.742,101.76799999999999,101.771,102.35600000000001,102.35700000000001,102.353,102.354
204,2016-09-14,102.49600000000001,102.49799999999999,102.523,102.52600000000001,102.90299999999999,102.906,102.884,102.885
205,2016-09-15,102.545,102.54899999999999,102.53200000000001,102.536,102.45100000000001,102.45299999999999,102.46,102.462
206,2016-09-16,101.99600000000001,102.0,101.99700000000001,102.001,102.102,102.104,102.07600000000001,102.07700000000001
207,2016-09-19,102.311,102.315,102.34200000000001,102.345,101.649,101.65100000000001,101.679,101.681
208,2016-09-20,101.861,101.865,101.91,101.914,101.79299999999999,101.796,101.79700000000001,101.8
209,2016-09-21,101.598,101.60600000000001,101.603,101.61200000000001,100.79299999999999,100.796,100.802,100.804
210,2016-09-22,100.387,100.39,100.389,100.39299999999999,100.618,100.62100000000001,100.58200000000001,100.585
211,2016-09-23,100.82700000000001,100.831,100.816,100.819,101.04799999999999,101.051,101.024,101.027
212,2016-09-26,100.904,100.90700000000001,100.902,100.906,100.46600000000001,100.469,100.46799999999999,100.47
213,2016-09-27,100.37200000000001,100.375,100.37100000000001,100.374,100.235,100.238,100.221,100.223
214,2016-09-28,100.49,100.493,100.477,100.48,100.648,100.65,100.655,100.65799999999999
215,2016-09-29,100.946,100.95,100.935,100.93799999999999,101.625,101.62700000000001,101.641,101.64399999999999
216,2016-09-30,101.199,101.20299999999999,101.19,101.194,101.27799999999999,101.28,101.32,101.323
217,2016-10-03,101.53299999999999,101.538,101.531,101.536,101.338,101.34,101.346,101.348
218,2016-10-04,101.839,101.84299999999999,101.838,101.84200000000001,102.538,102.54,102.54299999999999,102.545
219,2016-10-05,102.87899999999999,102.882,102.851,102.855,103.051,103.053,103.06700000000001,103.069
220,2016-10-06,103.459,103.463,103.435,103.439,103.927,103.93,103.92,103.92299999999999
221,2016-10-07,103.75399999999999,103.76,103.756,103.76,103.06,103.06200000000001,103.061,103.064
222,2016-10-10,103.01899999999999,103.022,103.06200000000001,103.06700000000001,103.538,103.54,103.556,103.55799999999999
223,2016-10-11,103.714,103.71700000000001,103.738,103.741,103.603,103.605,103.631,103.634
224,2016-10-12,103.345,103.348,103.31299999999999,103.316,103.896,103.898,103.883,103.885
225,2016-10-13,104.305,104.307,104.32600000000001,104.329,103.637,103.639,103.641,103.64399999999999
226,2016-10-14,103.73700000000001,103.742,103.756,103.76,104.352,104.355,104.352,104.354
