(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(30, 2, 1, -0.5, -0.5, 3.5, 3): Return: 9.95%, Hit Ratio: 74.51%, Max Drawdown: 1.1%
(30, 2, 1, 0, 0.5, 2.5, 3.5): Return: 9.95%, Hit Ratio: 71.21%, Max Drawdown: 1.1%
(30, 1.5, 1, 0.5, -0.5, 2.5, 3): Return: 9.94%, Hit Ratio: 70.15%, Max Drawdown: 1.71%
(60, 1.5, 1, 0, -0.5, 2.5, 3): Return: 9.94%, Hit Ratio: 67.8%, Max Drawdown: 1.22%
(60, 1.5, 1, 0.5, 0, 2.5, 2.5): Return: 9.94%, Hit Ratio: 68.25%, Max Drawdown: 1.21%
(100, 1.5, 1, -0.5, -0.5, 2.5, 3): Return: 9.93%, Hit Ratio: 75.56%, Max Drawdown: 1.13%
(100, 1.5, 1, -0.5, -0.5, 3, 3): Return: 9.93%, Hit Ratio: 75.56%, Max Drawdown: 1.13%
(100, 1.5, 1, -0.5, -0.5, 3.5, 3): Return: 9.93%, Hit Ratio: 75.56%, Max Drawdown: 1.13%
(30, 1, 1, 0.5, -0.5, 3, 3): Return: 9.9%, Hit Ratio: 69.44%, Max Drawdown: 1.27%
(30, 1, 1, 0.5, -0.5, 3.5, 3): Return: 9.9%, Hit Ratio: 69.44%, Max Drawdown: 1.27%
(60, 1.5, 1, 0, -0.5, 3, 3): Return: 9.9%, Hit Ratio: 67.8%, Max Drawdown: 1.25%
(60, 1.5, 1, 0, -0.5, 3.5, 3): Return: 9.9%, Hit Ratio: 67.8%, Max Drawdown: 1.25%
(60, 1.5, 1, 0.5, 0, 3, 2.5): Return: 9.9%, Hit Ratio: 68.25%, Max Drawdown: 1.23%
(60, 1.5, 1, 0.5, 0, 3.5, 2.5): Return: 9.9%, Hit Ratio: 68.25%, Max Drawdown: 1.23%
(30, 1.5, 1, 0.5, 0, 2.5, 3.5): Return: 9.87%, Hit Ratio: 70.83%, Max Drawdown: 1.71%
(100, 2, 1, 0.5, 0, 2.5, 3): Return: 9.86%, Hit Ratio: 66.67%, Max Drawdown: 0.83%
(100, 2, 1, 0.5, 0, 3, 3): Return: 9.86%, Hit Ratio: 66.67%, Max Drawdown: 0.83%
(100, 2, 1, 0.5, 0, 3.5, 3): Return: 9.86%, Hit Ratio: 66.67%, Max Drawdown: 0.83%
(100, 2, 1, 0, -0.5, 2.5, 3): Return: 9.84%, Hit Ratio: 67.39%, Max Drawdown: 0.83%
(100, 2, 1, 0, -0.5, 3, 3): Return: 9.84%, Hit Ratio: 67.39%, Max Drawdown: 0.83%
(100, 2, 1, 0, -0.5, 3.5, 3): Return: 9.84%, Hit Ratio: 67.39%, Max Drawdown: 0.83%
(100, 1.5, 1, -0.5, 0, 2.5, 3.5): Return: 9.83%, Hit Ratio: 71.7%, Max Drawdown: 1.13%
(100, 1.5, 1, -0.5, 0, 3, 3.5): Return: 9.83%, Hit Ratio: 71.7%, Max Drawdown: 1.13%
(100, 1.5, 1, -0.5, 0, 3.5, 3.5): Return: 9.83%, Hit Ratio: 71.7%, Max Drawdown: 1.13%
(100, 2, 1, -0.5, 0, 2.5, 3): Return: 9.82%, Hit Ratio: 72.34%, Max Drawdown: 0.64%
(100, 2, 1, -0.5, 0, 3, 3): Return: 9.82%, Hit Ratio: 72.34%, Max Drawdown: 0.64%
(100, 2, 1, -0.5, 0, 3.5, 3): Return: 9.82%, Hit Ratio: 72.34%, Max Drawdown: 0.64%
(30, 2, 1, 0.5, 0, 2.5, 2.5): Return: 9.81%, Hit Ratio: 72.88%, Max Drawdown: 1.1%
(100, 1.5, 1, 0, -0.5, 2.5, 3.5): Return: 9.79%, Hit Ratio: 67.31%, Max Drawdown: 1.13%
