,Date,rates_US
10,2018-04-01,1.5
11,2018-04-02,1.5
12,2018-04-03,1.5
13,2018-04-04,1.5
14,2018-04-05,1.5
15,2018-04-06,1.5
16,2018-04-07,1.5
17,2018-04-08,1.5
18,2018-04-09,1.5
19,2018-04-10,1.5
20,2018-04-11,1.5
21,2018-04-12,1.5
22,2018-04-13,1.5
23,2018-04-14,1.5
24,2018-04-15,1.5
25,2018-04-16,1.5
26,2018-04-17,1.5
27,2018-04-18,1.5
28,2018-04-19,1.5
29,2018-04-20,1.5
30,2018-04-21,1.5
31,2018-04-22,1.5
32,2018-04-23,1.5
33,2018-04-24,1.5
34,2018-04-25,1.5
35,2018-04-26,1.5
36,2018-04-27,1.5
37,2018-04-28,1.5
38,2018-04-29,1.5
39,2018-04-30,1.5
40,2018-05-01,1.5
41,2018-05-02,1.5
42,2018-05-03,1.5
43,2018-05-04,1.5
44,2018-05-05,1.5
45,2018-05-06,1.5
46,2018-05-07,1.5
47,2018-05-08,1.5
48,2018-05-09,1.5
49,2018-05-10,1.5
50,2018-05-11,1.5
51,2018-05-12,1.5
52,2018-05-13,1.5
53,2018-05-14,1.5
54,2018-05-15,1.5
55,2018-05-16,1.5
56,2018-05-17,1.5
57,2018-05-18,1.5
58,2018-05-19,1.5
59,2018-05-20,1.5
60,2018-05-21,1.5
61,2018-05-22,1.5
62,2018-05-23,1.5
63,2018-05-24,1.5
64,2018-05-25,1.5
65,2018-05-26,1.5
66,2018-05-27,1.5
67,2018-05-28,1.5
68,2018-05-29,1.5
69,2018-05-30,1.5
70,2018-05-31,1.5
71,2018-06-01,1.5
72,2018-06-02,1.5
73,2018-06-03,1.5
74,2018-06-04,1.5
75,2018-06-05,1.5
76,2018-06-06,1.5
77,2018-06-07,1.5
78,2018-06-08,1.5
79,2018-06-09,1.5
80,2018-06-10,1.5
81,2018-06-11,1.5
82,2018-06-12,1.5
83,2018-06-13,1.5
0,2018-06-14,1.75
1,2018-06-15,1.75
2,2018-06-16,1.75
3,2018-06-17,1.75
4,2018-06-18,1.75
5,2018-06-19,1.75
6,2018-06-20,1.75
7,2018-06-21,1.75
8,2018-06-22,1.75
9,2018-06-23,1.75
10,2018-06-24,1.75
11,2018-06-25,1.75
12,2018-06-26,1.75
13,2018-06-27,1.75
14,2018-06-28,1.75
15,2018-06-29,1.75
16,2018-06-30,1.75
17,2018-07-01,1.75
18,2018-07-02,1.75
19,2018-07-03,1.75
20,2018-07-04,1.75
21,2018-07-05,1.75
22,2018-07-06,1.75
23,2018-07-07,1.75
24,2018-07-08,1.75
25,2018-07-09,1.75
26,2018-07-10,1.75
27,2018-07-11,1.75
28,2018-07-12,1.75
29,2018-07-13,1.75
30,2018-07-14,1.75
31,2018-07-15,1.75
32,2018-07-16,1.75
33,2018-07-17,1.75
34,2018-07-18,1.75
35,2018-07-19,1.75
36,2018-07-20,1.75
37,2018-07-21,1.75
38,2018-07-22,1.75
39,2018-07-23,1.75
40,2018-07-24,1.75
41,2018-07-25,1.75
42,2018-07-26,1.75
43,2018-07-27,1.75
44,2018-07-28,1.75
45,2018-07-29,1.75
46,2018-07-30,1.75
47,2018-07-31,1.75
48,2018-08-01,1.75
49,2018-08-02,1.75
50,2018-08-03,1.75
51,2018-08-04,1.75
52,2018-08-05,1.75
53,2018-08-06,1.75
54,2018-08-07,1.75
55,2018-08-08,1.75
56,2018-08-09,1.75
57,2018-08-10,1.75
58,2018-08-11,1.75
59,2018-08-12,1.75
60,2018-08-13,1.75
61,2018-08-14,1.75
62,2018-08-15,1.75
63,2018-08-16,1.75
64,2018-08-17,1.75
65,2018-08-18,1.75
66,2018-08-19,1.75
67,2018-08-20,1.75
68,2018-08-21,1.75
69,2018-08-22,1.75
70,2018-08-23,1.75
71,2018-08-24,1.75
72,2018-08-25,1.75
73,2018-08-26,1.75
74,2018-08-27,1.75
75,2018-08-28,1.75
76,2018-08-29,1.75
77,2018-08-30,1.75
78,2018-08-31,1.75
79,2018-09-01,1.75
80,2018-09-02,1.75
81,2018-09-03,1.75
82,2018-09-04,1.75
83,2018-09-05,1.75
84,2018-09-06,1.75
85,2018-09-07,1.75
86,2018-09-08,1.75
87,2018-09-09,1.75
88,2018-09-10,1.75
89,2018-09-11,1.75
90,2018-09-12,1.75
91,2018-09-13,1.75
92,2018-09-14,1.75
93,2018-09-15,1.75
94,2018-09-16,1.75
95,2018-09-17,1.75
96,2018-09-18,1.75
97,2018-09-19,1.75
98,2018-09-20,1.75
99,2018-09-21,1.75
100,2018-09-22,1.75
101,2018-09-23,1.75
102,2018-09-24,1.75
103,2018-09-25,1.75
104,2018-09-26,1.75
0,2018-09-27,2.0
1,2018-09-28,2.0
2,2018-09-29,2.0
3,2018-09-30,2.0
4,2018-10-01,2.0
5,2018-10-02,2.0
6,2018-10-03,2.0
7,2018-10-04,2.0
8,2018-10-05,2.0
9,2018-10-06,2.0
10,2018-10-07,2.0
11,2018-10-08,2.0
12,2018-10-09,2.0
13,2018-10-10,2.0
14,2018-10-11,2.0
15,2018-10-12,2.0
16,2018-10-13,2.0
17,2018-10-14,2.0
18,2018-10-15,2.0
19,2018-10-16,2.0
20,2018-10-17,2.0
21,2018-10-18,2.0
22,2018-10-19,2.0
23,2018-10-20,2.0
24,2018-10-21,2.0
25,2018-10-22,2.0
26,2018-10-23,2.0
27,2018-10-24,2.0
28,2018-10-25,2.0
29,2018-10-26,2.0
30,2018-10-27,2.0
31,2018-10-28,2.0
32,2018-10-29,2.0
33,2018-10-30,2.0
34,2018-10-31,2.0
35,2018-11-01,2.0
36,2018-11-02,2.0
37,2018-11-03,2.0
38,2018-11-04,2.0
39,2018-11-05,2.0
40,2018-11-06,2.0
41,2018-11-07,2.0
42,2018-11-08,2.0
43,2018-11-09,2.0
44,2018-11-10,2.0
45,2018-11-11,2.0
46,2018-11-12,2.0
47,2018-11-13,2.0
48,2018-11-14,2.0
49,2018-11-15,2.0
50,2018-11-16,2.0
51,2018-11-17,2.0
52,2018-11-18,2.0
53,2018-11-19,2.0
54,2018-11-20,2.0
55,2018-11-21,2.0
56,2018-11-22,2.0
57,2018-11-23,2.0
