(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(100, 1, 2, 0.5, -0.5, 2.5, 3.5): Return: 0.06%, Hit Ratio: 46.55%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, -0.5, 3, 2.5): Return: 0.06%, Hit Ratio: 44.83%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, -0.5, 3, 3): Return: 0.06%, Hit Ratio: 45.3%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, -0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 45.3%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, -0.5, 3.5, 2.5): Return: 0.06%, Hit Ratio: 44.92%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, -0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 45.38%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, -0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 45.38%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0, 2.5, 2.5): Return: 0.06%, Hit Ratio: 44.35%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0, 2.5, 3): Return: 0.06%, Hit Ratio: 44.83%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0, 2.5, 3.5): Return: 0.06%, Hit Ratio: 44.83%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0, 3, 2.5): Return: 0.06%, Hit Ratio: 43.1%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0, 3, 3): Return: 0.06%, Hit Ratio: 43.59%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0, 3, 3.5): Return: 0.06%, Hit Ratio: 43.59%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0, 3.5, 2.5): Return: 0.06%, Hit Ratio: 43.22%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0, 3.5, 3): Return: 0.06%, Hit Ratio: 43.7%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0, 3.5, 3.5): Return: 0.06%, Hit Ratio: 43.7%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0.5, 3, 3): Return: 0.06%, Hit Ratio: 47.46%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0.5, 3, 3.5): Return: 0.06%, Hit Ratio: 47.9%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0.5, 3.5, 3): Return: 0.06%, Hit Ratio: 47.5%, Max Drawdown: 0.01%
(100, 1, 2, 0.5, 0.5, 3.5, 3.5): Return: 0.06%, Hit Ratio: 47.93%, Max Drawdown: 0.01%
(60, 1, 1, 0.5, 0.5, 2.5, 2.5): Return: 0.05%, Hit Ratio: 43.2%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, 0.5, 2.5, 3): Return: 0.05%, Hit Ratio: 44.0%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, 0.5, 2.5, 3.5): Return: 0.05%, Hit Ratio: 44.88%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, 0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 42.97%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, 0.5, 3, 3): Return: 0.05%, Hit Ratio: 43.75%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, 0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 44.62%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, 0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 42.31%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, 0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 43.08%, Max Drawdown: 0.03%
(60, 1, 1, 0.5, 0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 43.94%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, 0.5, 2.5, 2.5): Return: 0.05%, Hit Ratio: 48.57%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, 0.5, 2.5, 3): Return: 0.05%, Hit Ratio: 49.3%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, 0.5, 2.5, 3.5): Return: 0.05%, Hit Ratio: 50.68%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, 0.5, 3, 3.5): Return: 0.05%, Hit Ratio: 49.35%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, 0.5, 3.5, 2.5): Return: 0.05%, Hit Ratio: 46.05%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, 0.5, 3.5, 3): Return: 0.05%, Hit Ratio: 46.75%, Max Drawdown: 0.03%
(60, 1.5, 1, -0.5, 0.5, 3.5, 3.5): Return: 0.05%, Hit Ratio: 48.1%, Max Drawdown: 0.03%
(60, 1.5, 1, 0, 0.5, 3, 3): Return: 0.05%, Hit Ratio: 46.67%, Max Drawdown: 0.03%
(60, 1.5, 1, 0.5, 0.5, 2.5, 2.5): Return: 0.05%, Hit Ratio: 47.89%, Max Drawdown: 0.03%
(60, 1.5, 1, 0.5, 0.5, 2.5, 3): Return: 0.05%, Hit Ratio: 48.61%, Max Drawdown: 0.03%
(60, 1.5, 1, 0.5, 0.5, 2.5, 3.5): Return: 0.05%, Hit Ratio: 50.0%, Max Drawdown: 0.03%
(60, 1.5, 1, 0.5, 0.5, 3, 2.5): Return: 0.05%, Hit Ratio: 45.33%, Max Drawdown: 0.03%
(60, 1.5, 1, 0.5, 0.5, 3, 3): Return: 0.05%, Hit Ratio: 46.05%, Max Drawdown: 0.03%
