(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1, 1, 0.5, 0, 3, 3): Return: 8.15%, Hit Ratio: 78.08%, Max Drawdown: 3.15%
(60, 1, 1, 0.5, 0, 3.5, 3): Return: 8.15%, Hit Ratio: 78.08%, Max Drawdown: 3.15%
(100, 1.5, 1, 0.5, 0, 2.5, 2.5): Return: 8.01%, Hit Ratio: 74.07%, Max Drawdown: 1.12%
(30, 1.5, 1.5, -0.5, 0, 3, 2.5): Return: 7.89%, Hit Ratio: 77.27%, Max Drawdown: 1.22%
(30, 1.5, 1.5, -0.5, 0, 3.5, 2.5): Return: 7.89%, Hit Ratio: 77.27%, Max Drawdown: 1.22%
(30, 1.5, 1.5, -0.5, 0.5, 3, 2.5): Return: 7.89%, Hit Ratio: 76.09%, Max Drawdown: 1.22%
(30, 1.5, 1.5, -0.5, 0.5, 3.5, 2.5): Return: 7.89%, Hit Ratio: 76.09%, Max Drawdown: 1.22%
(30, 1.5, 2, -0.5, 0, 3, 2.5): Return: 7.89%, Hit Ratio: 87.5%, Max Drawdown: 1.22%
(30, 1.5, 2, -0.5, 0, 3.5, 2.5): Return: 7.89%, Hit Ratio: 87.5%, Max Drawdown: 1.22%
(30, 1.5, 2, -0.5, 0.5, 3, 2.5): Return: 7.89%, Hit Ratio: 81.82%, Max Drawdown: 1.22%
(30, 1.5, 2, -0.5, 0.5, 3.5, 2.5): Return: 7.89%, Hit Ratio: 81.82%, Max Drawdown: 1.22%
(30, 1.5, 1.5, -0.5, 0, 2.5, 2.5): Return: 7.88%, Hit Ratio: 77.27%, Max Drawdown: 1.22%
(30, 1.5, 1.5, -0.5, 0.5, 2.5, 2.5): Return: 7.88%, Hit Ratio: 76.09%, Max Drawdown: 1.22%
(30, 1.5, 2, -0.5, 0, 2.5, 2.5): Return: 7.86%, Hit Ratio: 87.1%, Max Drawdown: 1.22%
(30, 1.5, 2, -0.5, 0.5, 2.5, 2.5): Return: 7.86%, Hit Ratio: 81.25%, Max Drawdown: 1.22%
(30, 2, 1, -0.5, 0, 3, 3): Return: 7.83%, Hit Ratio: 76.67%, Max Drawdown: 1.14%
(30, 2, 1, -0.5, 0, 3, 3.5): Return: 7.83%, Hit Ratio: 76.67%, Max Drawdown: 1.14%
(30, 2, 1, -0.5, 0, 3.5, 3): Return: 7.83%, Hit Ratio: 76.67%, Max Drawdown: 1.14%
(30, 2, 1, -0.5, 0, 3.5, 3.5): Return: 7.83%, Hit Ratio: 76.67%, Max Drawdown: 1.14%
(30, 2, 1, -0.5, 0, 2.5, 3): Return: 7.82%, Hit Ratio: 76.67%, Max Drawdown: 1.14%
(30, 2, 1, -0.5, 0, 2.5, 3.5): Return: 7.82%, Hit Ratio: 76.67%, Max Drawdown: 1.14%
(100, 1.5, 1, 0.5, -0.5, 2.5, 2.5): Return: 7.72%, Hit Ratio: 69.23%, Max Drawdown: 1.12%
(30, 1.5, 1, -0.5, 0, 3, 3): Return: 7.71%, Hit Ratio: 75.81%, Max Drawdown: 1.22%
(30, 1.5, 1, -0.5, 0, 3, 3.5): Return: 7.71%, Hit Ratio: 75.81%, Max Drawdown: 1.22%
(30, 1.5, 1, -0.5, 0, 3.5, 3): Return: 7.71%, Hit Ratio: 75.81%, Max Drawdown: 1.22%
(30, 1.5, 1, -0.5, 0, 3.5, 3.5): Return: 7.71%, Hit Ratio: 75.81%, Max Drawdown: 1.22%
(30, 1.5, 1, -0.5, 0, 2.5, 3): Return: 7.7%, Hit Ratio: 75.81%, Max Drawdown: 1.22%
(30, 1.5, 1, -0.5, 0, 2.5, 3.5): Return: 7.7%, Hit Ratio: 75.81%, Max Drawdown: 1.22%
(100, 1.5, 1, 0.5, 0, 2.5, 3): Return: 7.66%, Hit Ratio: 72.73%, Max Drawdown: 1.12%
(100, 1.5, 1, 0.5, 0, 2.5, 3.5): Return: 7.66%, Hit Ratio: 72.73%, Max Drawdown: 1.12%
(30, 2, 1, 0.5, 0, 3, 3): Return: 7.64%, Hit Ratio: 79.37%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, 0, 3, 3.5): Return: 7.64%, Hit Ratio: 79.37%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, 0, 3.5, 3): Return: 7.64%, Hit Ratio: 79.37%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, 0, 3.5, 3.5): Return: 7.64%, Hit Ratio: 79.37%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, 0, 2.5, 3): Return: 7.63%, Hit Ratio: 79.03%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, 0, 2.5, 3.5): Return: 7.63%, Hit Ratio: 79.03%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, 0, 3, 3): Return: 7.52%, Hit Ratio: 77.61%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, 0, 3, 3.5): Return: 7.52%, Hit Ratio: 77.61%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, 0, 3.5, 3): Return: 7.52%, Hit Ratio: 77.61%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, 0, 3.5, 3.5): Return: 7.52%, Hit Ratio: 77.61%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, 0, 2.5, 3): Return: 7.51%, Hit Ratio: 77.27%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, 0, 2.5, 3.5): Return: 7.51%, Hit Ratio: 77.27%, Max Drawdown: 3.39%
(60, 1, 1, 0.5, -0.5, 2.5, 3.5): Return: 7.5%, Hit Ratio: 72.6%, Max Drawdown: 3.45%
(100, 1, 1, 0, -0.5, 2.5, 2.5): Return: 7.42%, Hit Ratio: 75.0%, Max Drawdown: 1.3%
(30, 2, 1.5, 0.5, 0, 2.5, 3): Return: 7.39%, Hit Ratio: 83.78%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0, 2.5, 3.5): Return: 7.39%, Hit Ratio: 83.78%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0, 3, 3): Return: 7.39%, Hit Ratio: 84.21%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0, 3, 3.5): Return: 7.39%, Hit Ratio: 84.21%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0, 3.5, 3): Return: 7.39%, Hit Ratio: 84.21%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0, 3.5, 3.5): Return: 7.39%, Hit Ratio: 84.21%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0.5, 2.5, 3): Return: 7.39%, Hit Ratio: 81.58%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0.5, 2.5, 3.5): Return: 7.39%, Hit Ratio: 81.58%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0.5, 3, 3): Return: 7.39%, Hit Ratio: 82.05%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0.5, 3, 3.5): Return: 7.39%, Hit Ratio: 82.05%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0.5, 3.5, 3): Return: 7.39%, Hit Ratio: 82.05%, Max Drawdown: 3.37%
(30, 2, 1.5, 0.5, 0.5, 3.5, 3.5): Return: 7.39%, Hit Ratio: 82.05%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0, 3, 3): Return: 7.38%, Hit Ratio: 85.71%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0, 3, 3.5): Return: 7.38%, Hit Ratio: 85.71%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0, 3.5, 3): Return: 7.38%, Hit Ratio: 85.71%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0, 3.5, 3.5): Return: 7.38%, Hit Ratio: 85.71%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0.5, 3, 3): Return: 7.38%, Hit Ratio: 85.71%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0.5, 3, 3.5): Return: 7.38%, Hit Ratio: 85.71%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0.5, 3.5, 3): Return: 7.38%, Hit Ratio: 85.71%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0.5, 3.5, 3.5): Return: 7.38%, Hit Ratio: 85.71%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0, 2.5, 3): Return: 7.36%, Hit Ratio: 85.0%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0, 2.5, 3.5): Return: 7.36%, Hit Ratio: 85.0%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0.5, 2.5, 3): Return: 7.36%, Hit Ratio: 85.0%, Max Drawdown: 3.37%
(30, 2, 2, 0.5, 0.5, 2.5, 3.5): Return: 7.36%, Hit Ratio: 85.0%, Max Drawdown: 3.37%
(100, 1.5, 1, 0.5, -0.5, 2.5, 3): Return: 7.36%, Hit Ratio: 67.92%, Max Drawdown: 1.13%
(100, 1.5, 1, 0.5, -0.5, 2.5, 3.5): Return: 7.36%, Hit Ratio: 67.92%, Max Drawdown: 1.13%
(100, 1, 1, 0, -0.5, 2.5, 3): Return: 7.35%, Hit Ratio: 75.0%, Max Drawdown: 1.3%
(100, 1, 1, 0, -0.5, 2.5, 3.5): Return: 7.35%, Hit Ratio: 75.0%, Max Drawdown: 1.3%
(30, 2, 1, -0.5, 0, 3, 2.5): Return: 7.31%, Hit Ratio: 75.81%, Max Drawdown: 1.15%
(30, 2, 1, -0.5, 0, 3.5, 2.5): Return: 7.31%, Hit Ratio: 75.81%, Max Drawdown: 1.15%
(30, 2, 1, 0.5, -0.5, 2.5, 3): Return: 7.31%, Hit Ratio: 81.97%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, -0.5, 2.5, 3.5): Return: 7.31%, Hit Ratio: 81.97%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, -0.5, 3, 3): Return: 7.31%, Hit Ratio: 80.65%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, -0.5, 3, 3.5): Return: 7.31%, Hit Ratio: 80.65%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, -0.5, 3.5, 3): Return: 7.31%, Hit Ratio: 80.65%, Max Drawdown: 3.39%
(30, 2, 1, 0.5, -0.5, 3.5, 3.5): Return: 7.31%, Hit Ratio: 80.65%, Max Drawdown: 3.39%
(30, 2, 1, -0.5, 0, 2.5, 2.5): Return: 7.3%, Hit Ratio: 75.81%, Max Drawdown: 1.15%
(30, 1.5, 1, -0.5, 0, 3, 2.5): Return: 7.19%, Hit Ratio: 75.0%, Max Drawdown: 1.23%
(30, 1.5, 1, -0.5, 0, 3.5, 2.5): Return: 7.19%, Hit Ratio: 75.0%, Max Drawdown: 1.23%
(30, 1.5, 1, 0.5, -0.5, 2.5, 3): Return: 7.19%, Hit Ratio: 78.46%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, -0.5, 2.5, 3.5): Return: 7.19%, Hit Ratio: 78.46%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, -0.5, 3, 3): Return: 7.19%, Hit Ratio: 77.27%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, -0.5, 3, 3.5): Return: 7.19%, Hit Ratio: 77.27%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, -0.5, 3.5, 3): Return: 7.19%, Hit Ratio: 77.27%, Max Drawdown: 3.39%
(30, 1.5, 1, 0.5, -0.5, 3.5, 3.5): Return: 7.19%, Hit Ratio: 77.27%, Max Drawdown: 3.39%
(30, 1.5, 1, -0.5, 0, 2.5, 2.5): Return: 7.18%, Hit Ratio: 75.0%, Max Drawdown: 1.23%
(60, 1, 1, 0, -0.5, 2.5, 3): Return: 7.13%, Hit Ratio: 77.61%, Max Drawdown: 3.15%
(30, 2, 1, 0.5, 0, 3, 2.5): Return: 7.12%, Hit Ratio: 78.12%, Max Drawdown: 3.39%
