"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"PSO","Pearson PLC ADRs","United Kingdom","LN:PSON","London Stock Exchange","Consumer Discretionary","$8,095,060,963","19.01","1.30","1.96","2.46%","258,735","Analyze"
"TX","Ternium S.A. ADRs","Argentina","PRIVATE","","Materials","$7,832,532,620","10.06","0.90","1.08","3.07%","794,196","Analyze"
"EBR","Centrais Eletricas Brasileiras ADRs","Brazil","BS:ELET3","XBSP","Utilities","$7,779,907,998","8.47","1.53","0.10","4.89%","801,580","Analyze"
"EBR.B","Centrais Electricas Brasileiras S.A. ADRs of Preferred Shares","Brazil","BS:ELET6","XBSP","Utilities","$7,779,907,998","8.38","1.34","0.00","5.41%","29,380","Analyze"
"PTR","PetroChina Co Ltd ADRs","China","HK:0857","Hong Kong Exchange","Energy","$7,705,318,280","24.35","0.03","0.01","5.03%","208,927","Analyze"
"MNSO","MINISO Group Holding Limited ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$7,316,678,144","0.00","5.50","0.00","0.00%","947,252","Analyze"
"LPL","LG Display Co Ltd ADRs","South Korea","KP:034220","Korea Exchange (Stock Market)","Information Technology","$7,170,626,628","0.00","0.31","0.00","4.47%","567,973","Analyze"
"ASND","Ascendis Pharma ADRs","Denmark","PRIVATE","","Health Care","$7,009,050,334","0.00","855.84","8.36","0.00%","229,610","Analyze"
"GWPH","GW Pharmaceuticals PLC ADRs","United Kingdom","PRIVATE","","Health Care","$6,851,066,412","-117.86","13.00","9.24","0.00%","754,449","Analyze"
"SQM","Sociedad Quimica y Minera de Chile ADRs of B Shares","Chile","CC:SQMB","Santiago Stock Exchange","Materials","$6,534,062,040","39.72","3.47","3.08","0.81%","923,291","Analyze"
"WF","Woori Financial Group Inc. ADRs","South Korea","KP:316140","Korea Exchange (Stock Market)","Financials","$6,524,484,727","5.88","1.12","0.00","1.17%","16,445","Analyze"
"KT","KT Corp ADRs","South Korea","KP:030200","Korea Exchange (Stock Market)","Communication Services","$6,517,350,728","10.55","0.31","0.00","9.57%","1,015,313","Analyze"
"DADA","Dada Nexus Limited ADRs","China","PRIVATE","","Consumer Discretionary","$6,310,069,858","0.00","7.22","0.90","0.00%","1,769,925","Analyze"
"YY","YY Inc. ADRs","China","PRIVATE","","Communication Services","$6,291,115,885","5.41","1.79","0.15","0.83%","1,572,494","Analyze"
"CSAN","Cosan S.A. ADRs","Brazil","BS:CSAN3","XBSP","Energy","$6,054,468,608","0.00","0.45","0.00","0.00%","944,993","Analyze"
"OCFT","OneConnect Financial Technology Co., Ltd. ADRs","China","PRIVATE","","Information Technology","$5,986,401,069","0.00","11.87","1.15","0.00%","405,594","Analyze"
"GGB","Gerdau S.A. ADRs","Brazil","BS:GGBR4","XBSP","Materials","$5,856,219,662","21.38","0.71","0.19","0.43%","15,452,251","Analyze"
"PHI","PLDT  Inc. ADRs","Philippines","PM:TEL","Philippine Stock Exchange Inc.","Communication Services","$5,660,661,305","11.33","1.52","0.05","6.04%","131,952","Analyze"
"ENIC","Enel Chile ADRs","Chile","CC:ENELCHILE","Santiago Stock Exchange","Utilities","$5,408,824,773","9.78","1.49","0.00","6.02%","500,671","Analyze"
"TIMB","TIM S.A. ADRs","Brazil","BS:TIMS3","XBSP","Communication Services","$5,248,303,939","15.67","0.30","0.23","4.93%","552,042","Analyze"
"TV","Grupo Televisa SAB ADRs","Mexico","MM:TLEVISACPO","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Materials","$5,245,543,800","17.51","1.09","0.07","0.19%","1,693,958","Analyze"
